"X","X..plate...mjd...fiberID...mag_ab_u...mag_ab_g...mag_ab_r...mag_ab_i...mag_ab_z...mag_ab_fuv...mag_ab_nuv...M_absolut_u...M_absolut_g...M_absolut_r...M_absolut_i...M_absolut_z...M_absolut_fuv...M_absolut_nuv...u.g...u.i...g.r...g.i...r.i...i.z...FUV.NUV...FUV.u...NUV.u...FUV.g...NUV.g...FUV.r...NUV.r...FUV.i...NUV.i...FUV.z...NUV.z...redshift."
67,",420,51871,181,19.22573,18.01908,17.33697,16.9209,16.71577,21.48064,20.63223,-17.5492,-18.71906,-19.49739,-19.95959,-20.12273,-15.48572,-16.33413,1.20665,2.30483,0.68211,1.09818,0.41607,0.20513,0.84841,2.25491,1.4065,3.46156,2.61315,4.14367,3.29526,4.55974,3.71133,4.76487,3.91646,0.05611"
68,",420,51871,288,18.07384,17.24855,16.93692,16.63441,16.50164,19.54298,18.73175,-18.88824,-19.68253,-20.06201,-20.39639,-20.48221,-17.55836,-18.3696,0.82529,1.43943,0.31163,0.61414,0.30251,0.13277,0.81123,1.46914,0.65791,2.29443,1.4832,2.60606,1.79483,2.90857,2.09734,3.04134,2.23011,0.05956"
69,",426,51882,200,19.85419,17.88501,16.89732,16.44035,16.09313,21.85169,22.77435,-17.51702,-19.46272,-20.52307,-21.03901,-21.33621,-15.70473,-14.78207,1.96918,3.41384,0.98769,1.44466,0.45697,0.34722,-0.92266,1.9975,2.92016,3.96668,4.88934,4.95437,5.87703,5.41134,6.334,5.75856,6.68122,0.07274"
70,",432,51884,170,20.09463,18.30745,17.40577,16.99362,16.68397,22.87243,23.34806,-17.25795,-19.02143,-19.99421,-20.45969,-20.72252,-14.66008,-14.18445,1.78718,3.10101,0.90168,1.31383,0.41215,0.30965,-0.47563,2.7778,3.25343,4.56498,5.04061,5.46666,5.94229,5.87881,6.35444,6.18846,6.66409,0.07199"
71,",433,51873,241,19.3052,17.83423,17.13146,16.80838,16.56457,21.66198,21.28001,-17.64006,-19.07793,-19.86899,-20.2454,-20.43963,-15.46909,-15.85105,1.47097,2.49682,0.70277,1.02585,0.32308,0.24381,0.38197,2.35678,1.97481,3.82775,3.44578,4.53052,4.14855,4.8536,4.47163,5.09741,4.71544,0.06034"
72,",438,51884,22,18.76788,17.86587,17.55659,17.28106,17.1604,19.61224,19.50111,-18.23812,-19.11013,-19.48524,-19.77009,-19.86636,-17.53181,-17.64294,0.90201,1.48682,0.30928,0.58481,0.27553,0.12066,0.11113,0.84436,0.73323,1.74637,1.63524,2.05565,1.94452,2.33118,2.22005,2.45184,2.34071,0.06069"
73,",439,51877,633,18.94943,17.73289,17.02001,16.59877,16.33374,21.64865,20.63125,-17.6302,-18.80576,-19.62625,-20.09955,-20.31987,-15.13525,-16.15265,1.21654,2.35066,0.71288,1.13412,0.42124,0.26503,1.0174,2.69922,1.68182,3.91576,2.89836,4.62864,3.61124,5.04988,4.03248,5.31491,4.29751,0.05175"
74,",440,51912,141,19.10141,18.04838,17.51375,17.16249,16.9743,20.00775,19.94483,-17.6185,-18.6343,-19.25957,-19.64304,-19.79564,-16.88655,-16.94948,1.05303,1.93892,0.53463,0.88589,0.35126,0.18819,0.06292,0.90634,0.84342,1.95937,1.89645,2.494,2.43108,2.84526,2.78234,3.03345,2.97053,0.05435"
75,",441,51868,438,19.38143,17.95907,17.29442,16.90133,16.66672,21.93691,20.81694,-17.2958,-18.67941,-19.44414,-19.88037,-20.07577,-14.93376,-16.05373,1.42236,2.4801,0.66465,1.05774,0.39309,0.23461,1.11997,2.55548,1.43551,3.97784,2.85787,4.64249,3.52252,5.03558,3.91561,5.27019,4.15022,0.05378"
76,",442,51882,240,19.2287,18.0433,17.46651,17.13161,16.92159,20.90423,20.3677,-17.43775,-18.58462,-19.25691,-19.62077,-19.80099,-15.9442,-16.48073,1.1854,2.09709,0.57679,0.91169,0.3349,0.21002,0.53653,1.67553,1.139,2.86093,2.3244,3.43772,2.90119,3.77262,3.23609,3.98264,3.44611,0.05326"
77,",442,51882,313,19.38775,18.15333,17.56025,17.17092,17.00102,21.6232,20.54141,-17.60355,-18.8064,-19.47997,-19.90553,-20.0375,-15.53928,-16.62108,1.23442,2.21683,0.59308,0.98241,0.38933,0.1699,1.08179,2.23545,1.15366,3.46987,2.38808,4.06295,2.98116,4.45228,3.37049,4.62218,3.54039,0.06118"
78,",443,51873,77,18.43215,17.53939,17.17889,16.9066,16.82384,19.40885,19.25812,-18.25296,-19.10867,-19.55112,-19.83086,-19.89317,-17.42789,-17.57862,0.89276,1.52555,0.3605,0.63279,0.27229,0.08276,0.15073,0.9767,0.82597,1.86946,1.71873,2.22996,2.07923,2.50225,2.35152,2.58501,2.43428,0.05298"
79,",443,51873,104,18.96278,17.92518,17.45513,17.16193,17.02924,20.68551,20.22516,-17.58864,-18.586,-19.15005,-19.46167,-19.56934,-16.03653,-16.49688,1.0376,1.80085,0.47005,0.76325,0.2932,0.13269,0.46035,1.72273,1.26238,2.76033,2.29998,3.23038,2.77003,3.52358,3.06323,3.65627,3.19592,0.05035"
80,",443,51873,407,20.01226,18.08222,17.13274,16.77345,16.41834,19.27313,18.42658,-17.34676,-19.25312,-20.27486,-20.68038,-20.99723,-18.26911,-19.11566,1.93004,3.23881,0.94948,1.30877,0.35929,0.35511,0.84655,-0.73913,-1.58568,1.19091,0.34436,2.14039,1.29384,2.49968,1.65313,2.85479,2.00824,0.07229"
81,",443,51873,548,19.54553,18.08246,17.28853,16.899,16.58587,22.14016,21.68157,-17.07059,-18.49301,-19.39751,-19.83288,-20.11173,-14.68967,-15.14826,1.46307,2.64653,0.79393,1.18346,0.38953,0.31313,0.45859,2.59463,2.13604,4.0577,3.59911,4.85163,4.39304,5.24116,4.78257,5.55429,5.0957,0.05282"
82,",445,51873,355,19.09737,18.0394,17.52281,17.18985,17.01135,19.90206,19.5433,-18.36483,-19.40341,-19.97099,-20.32663,-20.4754,-17.70354,-18.06229,1.05797,1.90752,0.51659,0.84955,0.33296,0.1785,0.35876,0.80469,0.44593,1.86266,1.5039,2.37925,2.02049,2.71221,2.35345,2.89071,2.53195,0.07432"
83,",452,51911,263,18.95338,17.58261,17.2639,17.07258,16.69666,19.81667,19.17866,-17.6147,-18.94636,-19.34891,-19.54254,-19.90053,-16.89941,-17.53742,1.37077,1.8808,0.31871,0.51003,0.19132,0.37592,0.63801,0.86329,0.22528,2.23406,1.59605,2.55277,1.91476,2.74409,2.10608,3.12001,2.482,0.05022"
84,",455,51909,21,19.25243,17.71396,16.96818,16.60951,16.34084,23.08969,22.07979,-17.4571,-18.95709,-19.80593,-20.19817,-20.44132,-13.82254,-14.83244,1.53847,2.64292,0.74578,1.10445,0.35867,0.26867,1.0099,3.83726,2.82736,5.37573,4.36583,6.12151,5.11161,6.48018,5.47028,6.74885,5.73895,0.05478"
85,",456,51910,409,19.6823,18.07101,17.31443,16.93325,16.65843,22.28305,21.635,-17.66923,-19.25731,-20.08,-20.48856,-20.73768,-15.23676,-15.88481,1.61129,2.74905,0.75658,1.13776,0.38118,0.27482,0.64805,2.60075,1.9527,4.21204,3.56399,4.96862,4.32057,5.3498,4.70175,5.62462,4.97657,0.07159"
86,",462,51909,198,18.57625,17.511,16.98768,16.67206,16.45383,20.43169,19.8476,-17.98991,-19.01492,-19.63494,-19.98484,-20.16529,-16.31238,-16.89647,1.06525,1.90419,0.52332,0.83894,0.31562,0.21823,0.58409,1.85544,1.27135,2.92069,2.3366,3.44401,2.85992,3.75963,3.17554,3.97786,3.39377,0.05085"
87,",464,51908,110,19.00355,17.84808,17.35268,17.01765,16.84127,19.56837,19.57191,-18.00302,-19.12769,-19.69807,-20.09376,-20.20319,-17.59771,-17.59417,1.15547,1.9859,0.4954,0.83043,0.33503,0.17638,-0.00354,0.56482,0.56836,1.72029,1.72383,2.21569,2.21923,2.55072,2.55426,2.7271,2.73064,0.06128"
88,",464,51908,166,18.51409,17.67125,17.1774,16.84861,16.71385,20.00315,19.19642,-18.26923,-19.07636,-19.65568,-20.05507,-20.11347,-16.94707,-17.7538,0.84284,1.66548,0.49385,0.82264,0.32879,0.13476,0.80673,1.48906,0.68233,2.3319,1.52517,2.82575,2.01902,3.15454,2.34781,3.2893,2.48257,0.05571"
89,",464,51908,567,18.65305,17.84167,17.41899,17.03709,16.91968,19.72606,18.91795,-18.12961,-18.90562,-19.40982,-19.84976,-19.89958,-17.21423,-18.02234,0.81138,1.61596,0.42268,0.80458,0.3819,0.11741,0.80811,1.07301,0.2649,1.88439,1.07628,2.30707,1.49896,2.68897,1.88086,2.80638,1.99827,0.05547"
90,",468,51912,530,19.19383,17.73331,17.11944,16.83657,16.66024,21.8235,21.43629,-17.47565,-18.89751,-19.6089,-19.92115,-20.0693,-15.03289,-15.4201,1.46052,2.35726,0.61387,0.89674,0.28287,0.17633,0.38721,2.62967,2.24246,4.09019,3.70298,4.70406,4.31685,4.98693,4.59972,5.16326,4.77605,0.05344"
91,",472,51955,545,19.5011,17.91865,17.2121,16.84429,16.62199,21.93583,20.94839,-17.81248,-19.37088,-20.14419,-20.53667,-20.73468,-15.54412,-16.53156,1.58245,2.65681,0.70655,1.07436,0.36781,0.2223,0.98744,2.43473,1.44729,4.01718,3.02974,4.72373,3.73629,5.09154,4.1041,5.31384,4.3264,0.07035"
92,",474,52000,49,20.04043,18.21531,17.31301,16.91167,16.58229,23.12604,23.47476,-17.2942,-19.09514,-20.06982,-20.50932,-20.80738,-14.38991,-14.04119,1.82512,3.12876,0.9023,1.30364,0.40134,0.32938,-0.34872,3.08561,3.43433,4.91073,5.25945,5.81303,6.16175,6.21437,6.56309,6.54375,6.89247,0.07147"
93,",474,52000,401,19.41735,18.11205,17.51561,17.17407,16.97225,20.93486,20.11322,-17.3887,-18.65829,-19.34475,-19.70911,-19.88762,-16.05042,-16.87207,1.3053,2.24328,0.59644,0.93798,0.34154,0.20182,0.82164,1.51751,0.69587,2.82281,2.00117,3.41925,2.59761,3.76079,2.93915,3.96261,3.14097,0.05658"
94,",476,52314,399,19.54998,17.95572,17.25581,16.93949,16.69094,23.49714,22.5265,-17.00953,-18.56249,-19.37017,-19.72043,-19.94181,-13.26569,-14.23634,1.59426,2.61049,0.69991,1.01623,0.31632,0.24855,0.97064,3.94716,2.97652,5.54142,4.57078,6.24133,5.27069,6.55765,5.58701,6.8062,5.83556,0.05127"
95,",480,51989,450,19.7813,18.14542,17.37627,17.05571,16.77663,22.4883,21.41918,-16.81785,-18.41286,-19.29199,-19.67329,-19.90198,-14.32201,-15.39113,1.63588,2.72559,0.76915,1.08971,0.32056,0.27908,1.06912,2.707,1.63788,4.34288,3.27376,5.11203,4.04291,5.43259,4.36347,5.71167,4.64255,0.05236"
96,",481,51908,345,18.72308,17.70586,17.25881,16.97803,16.83567,20.08717,19.67232,-17.87751,-18.85556,-19.39319,-19.75514,-19.80831,-16.67936,-17.09421,1.01722,1.74505,0.44705,0.72783,0.28078,0.14236,0.41485,1.36409,0.94924,2.38131,1.96646,2.82836,2.41351,3.10914,2.69429,3.2515,2.83665,0.05136"
97,",484,51907,426,19.51338,17.98107,17.25614,16.9041,16.65749,21.26352,21.06547,-17.77029,-19.2777,-20.07196,-20.45682,-20.67196,-16.18986,-16.38791,1.53231,2.60928,0.72493,1.07697,0.35204,0.24661,0.19805,1.75014,1.55209,3.28245,3.0844,4.00738,3.80933,4.35942,4.16137,4.60603,4.40798,0.06953"
98,",484,51907,592,19.13872,17.98707,17.40423,17.01725,16.82267,21.17453,20.43009,-17.72162,-18.83881,-19.50828,-19.91719,-20.08836,-15.86119,-16.60563,1.15165,2.12147,0.58284,0.96982,0.38698,0.19458,0.74444,2.03581,1.29137,3.18746,2.44302,3.7703,3.02586,4.15728,3.41284,4.35186,3.60742,0.05786"
99,",487,51943,610,18.63718,17.76862,17.30834,16.92908,16.80349,19.78321,19.18534,-18.61056,-19.45428,-19.9756,-20.35943,-20.47206,-17.61173,-18.2096,0.86856,1.7081,0.46028,0.83954,0.37926,0.12559,0.59787,1.14603,0.54816,2.01459,1.41672,2.47487,1.877,2.85413,2.25626,2.97972,2.38185,0.06777"
100,",493,51957,617,19.02796,17.97791,17.46476,17.11573,16.95598,20.58662,19.89551,-18.08777,-19.10952,-19.69292,-20.04913,-20.19585,-16.68651,-17.37763,1.05005,1.91223,0.51315,0.86218,0.34903,0.15975,0.69111,1.55866,0.86755,2.60871,1.9176,3.12186,2.43075,3.47089,2.77978,3.63064,2.93953,0.06424"
101,",494,51915,326,19.82764,18.16898,17.38097,17.00471,16.73789,23.08535,22.46871,-17.11158,-18.73663,-19.61743,-20.02057,-20.2683,-14.04972,-14.66637,1.65866,2.82293,0.78801,1.16427,0.37626,0.26682,0.61664,3.25771,2.64107,4.91637,4.29973,5.70438,5.08774,6.08064,5.464,6.34746,5.73082,0.06045"
102,",500,51994,185,19.6407,18.31552,17.62542,17.20886,16.94339,21.26477,21.4768,-17.44295,-18.73834,-19.50837,-19.94474,-20.19235,-15.99626,-15.78423,1.32518,2.43184,0.6901,1.10666,0.41656,0.26547,-0.21203,1.62407,1.8361,2.94925,3.16128,3.63935,3.85138,4.05591,4.26794,4.32138,4.53341,0.0639"
103,",501,52235,513,20.06847,18.03293,17.09596,16.65226,16.30432,24.41604,22.36383,-17.11948,-19.12687,-20.14765,-20.6363,-20.94986,-12.96707,-15.01928,2.03554,3.41621,0.93697,1.38067,0.4437,0.34794,2.05221,4.34757,2.29536,6.38311,4.3309,7.32008,5.26787,7.76378,5.71157,8.11172,6.05951,0.06742"
104,",502,51957,195,19.31074,18.04833,17.47586,17.16078,17.00296,20.90278,20.67406,-17.74302,-18.97541,-19.6241,-19.96261,-20.09403,-16.31723,-16.54595,1.26241,2.14996,0.57247,0.88755,0.31508,0.15782,0.22872,1.59204,1.36332,2.85445,2.62573,3.42692,3.1982,3.742,3.51328,3.89982,3.6711,0.06276"
105,",502,51957,554,19.31347,18.01384,17.38572,17.03962,16.79876,20.9684,20.40929,-17.73778,-19.0071,-19.71416,-20.10081,-20.30063,-16.25524,-16.81435,1.29963,2.27385,0.62812,0.97422,0.3461,0.24086,0.55911,1.65493,1.09582,2.95456,2.39545,3.58268,3.02357,3.92878,3.36967,4.16964,3.61053,0.06286"
106,",503,51999,73,18.50201,17.58835,17.23823,16.9412,16.83835,19.49912,19.25744,-18.42347,-19.30515,-19.72669,-20.0344,-20.11332,-17.57113,-17.8128,0.91366,1.56081,0.35012,0.64715,0.29703,0.10285,0.24168,0.99711,0.75543,1.91077,1.66909,2.26089,2.01921,2.55792,2.31624,2.66077,2.41909,0.05874"
107,",504,52316,549,19.5183,18.21496,17.58701,17.19151,16.95136,20.59113,20.13987,-17.30614,-18.57402,-19.29277,-19.72098,-19.92944,-16.41575,-16.867,1.30334,2.32679,0.62795,1.02345,0.3955,0.24015,0.45126,1.07283,0.62157,2.37617,1.92491,3.00412,2.55286,3.39962,2.94836,3.63977,3.18851,0.05712"
108,",505,52317,77,19.11318,17.9133,17.50887,17.27438,17.08674,20.94824,20.13601,-17.77085,-18.9376,-19.41812,-19.66178,-19.82971,-16.0883,-16.90054,1.19988,1.8388,0.40443,0.63892,0.23449,0.18764,0.81223,1.83506,1.02283,3.03494,2.22271,3.43937,2.62714,3.67386,2.86163,3.8615,3.04927,0.05788"
109,",505,52317,354,19.23012,18.12131,17.51505,17.13254,16.92599,21.00562,20.41539,-17.7918,-18.8697,-19.55546,-19.96477,-20.14325,-16.18764,-16.77786,1.10881,2.09758,0.60626,0.98877,0.38251,0.20655,0.59023,1.7755,1.18527,2.88431,2.29408,3.49057,2.90034,3.87308,3.28285,4.07963,3.4894,0.06202"
110,",507,52353,356,19.83044,18.04157,17.16336,16.76374,16.4725,23.45723,22.75205,-17.52049,-19.28571,-20.23432,-20.67621,-20.93094,-14.07188,-14.77706,1.78887,3.0667,0.87821,1.27783,0.39962,0.29124,0.70518,3.62679,2.92161,5.41566,4.71048,6.29387,5.58869,6.69349,5.98831,6.98473,6.27955,0.07188"
111,",507,52353,422,19.78604,18.15108,17.35621,16.99682,16.72588,23.19271,21.93054,-17.47208,-19.08122,-19.94971,-20.35083,-20.58425,-14.24287,-15.50504,1.63496,2.78922,0.79487,1.15426,0.35939,0.27094,1.26217,3.40667,2.1445,5.04163,3.77946,5.8365,4.57433,6.19589,4.93372,6.46683,5.20466,0.06899"
112,",509,52374,350,19.43928,17.76027,16.95574,16.56412,16.28773,21.322,20.48463,-17.43812,-19.08204,-19.9837,-20.42795,-20.66099,-15.75662,-16.594,1.67901,2.87516,0.80453,1.19615,0.39162,0.27639,0.83737,1.88272,1.04535,3.56173,2.72436,4.36626,3.52889,4.75788,3.92051,5.03427,4.1969,0.05896"
113,",513,51989,559,19.32378,18.10381,17.41724,16.93631,16.72196,20.56569,20.42911,-17.87548,-19.06853,-19.82811,-20.33291,-20.52414,-16.8045,-16.94108,1.21997,2.38747,0.68657,1.1675,0.48093,0.21435,0.13658,1.24191,1.10533,2.46188,2.3253,3.14845,3.01187,3.62938,3.4928,3.84373,3.70715,0.06704"
114,",515,52051,213,19.88029,18.35761,17.56461,17.16084,16.84761,21.81485,21.45807,-16.98023,-18.46749,-19.35798,-19.79234,-20.08389,-15.24646,-15.60325,1.52268,2.71945,0.793,1.19677,0.40377,0.31323,0.35678,1.93456,1.57778,3.45724,3.10046,4.25024,3.89346,4.65401,4.29723,4.96724,4.61046,0.05851"
115,",516,52017,291,19.38312,18.15373,17.59778,17.17465,16.95089,21.09706,20.51454,-17.80967,-19.01248,-19.6364,-20.07088,-20.27889,-16.25435,-16.83686,1.22939,2.20847,0.55595,0.97908,0.42313,0.22376,0.58252,1.71394,1.13142,2.94333,2.36081,3.49928,2.91676,3.92241,3.33989,4.14617,3.56365,0.06649"
116,",518,52282,49,18.80022,17.83347,17.35421,16.95978,16.82966,20.36314,19.88692,-18.64673,-19.5938,-20.12372,-20.52514,-20.64008,-17.225,-17.70121,0.96675,1.84044,0.47926,0.87369,0.39443,0.13012,0.47622,1.56292,1.0867,2.52967,2.05345,3.00893,2.53271,3.40336,2.92714,3.53348,3.05726,0.07376"
117,",518,52282,254,18.21759,17.38234,17.07321,16.71836,16.66846,19.69053,19.0794,-19.14706,-19.96102,-20.31923,-20.67267,-20.70997,-17.80394,-18.41506,0.83525,1.49923,0.30913,0.66398,0.35485,0.0499,0.61113,1.47294,0.86181,2.30819,1.69706,2.61732,2.00619,2.97217,2.36104,3.02207,2.41094,0.0708"
118,",525,52295,25,18.66908,17.74412,17.38296,16.97912,16.90389,20.26314,19.60349,-18.64862,-19.55089,-19.96549,-20.37667,-20.43235,-17.19026,-17.84991,0.92496,1.68996,0.36116,0.765,0.40384,0.07523,0.65965,1.59406,0.93441,2.51902,1.85937,2.88018,2.22053,3.28402,2.62437,3.35925,2.6996,0.06953"
119,",527,52342,317,19.57166,18.17817,17.44226,17.06058,16.78543,21.11855,20.51322,-17.83386,-19.20566,-20.00341,-20.40864,-20.6606,-16.45022,-17.05555,1.39349,2.51108,0.73591,1.11759,0.38168,0.27515,0.60533,1.54689,0.94156,2.94038,2.33505,3.67629,3.07096,4.05797,3.45264,4.33312,3.72779,0.07314"
120,",532,51993,97,18.81106,17.92167,17.48747,17.18196,17.003,20.67929,19.70954,-18.01483,-18.8697,-19.38417,-19.70488,-19.85967,-16.3045,-17.27425,0.88939,1.6291,0.4342,0.73971,0.30551,0.17896,0.96975,1.86823,0.89848,2.75762,1.78787,3.19182,2.22207,3.49733,2.52758,3.67629,2.70654,0.05654"
121,",533,51994,628,18.77088,17.85337,17.38961,17.06318,16.91037,20.20604,19.10615,-17.9117,-18.79158,-19.34351,-19.68468,-19.81556,-16.64252,-17.74241,0.91751,1.7077,0.46376,0.79019,0.32643,0.15281,1.09989,1.43516,0.33527,2.35267,1.25278,2.81643,1.71654,3.14286,2.04297,3.29567,2.19578,0.05326"
122,",534,51997,59,18.70651,17.90079,17.54271,17.24133,17.14349,20.2323,19.748,-18.77024,-19.5575,-19.96053,-20.26478,-20.34767,-17.37521,-17.85951,0.80572,1.46518,0.35808,0.65946,0.30138,0.09784,0.4843,1.52579,1.04149,2.33151,1.84721,2.68959,2.20529,2.99097,2.50667,3.08881,2.60451,0.07439"
123,",534,51997,447,18.86632,17.81357,17.40946,17.12807,17.0037,20.52203,19.68859,-17.77728,-18.79192,-19.28226,-19.57163,-19.67749,-16.28029,-17.11372,1.05275,1.73825,0.40411,0.6855,0.28139,0.12437,0.83344,1.65571,0.82227,2.70846,1.87502,3.11257,2.27913,3.39396,2.56052,3.51833,2.68489,0.05218"
124,",534,51997,455,19.10537,18.02441,17.52132,17.16956,17.02048,20.25901,19.99433,-17.66603,-18.71099,-19.3006,-19.66784,-19.7962,-16.6809,-16.94557,1.08096,1.93581,0.50309,0.85485,0.35176,0.14908,0.26468,1.15364,0.88896,2.2346,1.96992,2.73769,2.47301,3.08945,2.82477,3.23853,2.97385,0.05546"
125,",539,52017,140,19.42787,17.93951,17.20957,16.85928,16.62514,23.11253,21.33664,-17.18781,-18.63583,-19.47263,-19.87744,-20.06507,-13.70815,-15.48404,1.48836,2.56859,0.72994,1.08023,0.35029,0.23414,1.77589,3.68466,1.90877,5.17302,3.39713,5.90296,4.12707,6.25325,4.47736,6.48739,4.7115,0.0526"
126,",540,51996,304,19.43199,18.00892,17.28354,16.91059,16.65614,21.03017,20.6574,-17.64914,-19.04221,-19.84925,-20.26746,-20.48013,-16.23215,-16.60492,1.42307,2.5214,0.72538,1.09833,0.37295,0.25445,0.37277,1.59818,1.22541,3.02125,2.64848,3.74663,3.37386,4.11958,3.74681,4.37403,4.00126,0.06393"
127,",540,51996,361,19.14306,17.69189,17.00682,16.66237,16.42465,21.86412,20.89944,-17.88438,-19.30444,-20.07241,-20.45815,-20.6568,-15.34303,-16.30772,1.45117,2.48069,0.68507,1.02952,0.34445,0.23772,0.96468,2.72106,1.75638,4.17223,3.20755,4.8573,3.89262,5.20175,4.23707,5.43947,4.47479,0.0624"
128,",543,52017,141,18.83217,17.86677,17.46787,17.16894,17.065,19.77423,19.4406,-18.57726,-19.52224,-19.97114,-20.28578,-20.36322,-17.77134,-18.10497,0.9654,1.66323,0.3989,0.69783,0.29893,0.10394,0.33363,0.94206,0.60843,1.90746,1.57383,2.30636,1.97273,2.60529,2.27166,2.70923,2.3756,0.0724"
129,",544,52201,3,18.56586,17.62143,17.23297,16.91196,16.7893,20.11925,19.4752,-18.52826,-19.44439,-19.89849,-20.23809,-20.33088,-17.11968,-17.76374,0.94443,1.6539,0.38846,0.70947,0.32101,0.12266,0.64405,1.55339,0.90934,2.49782,1.85377,2.88628,2.24223,3.20729,2.56324,3.32995,2.6859,0.06328"
130,",545,52202,21,18.63429,17.77575,17.36165,16.99507,16.89645,20.05,19.44478,-18.70266,-19.53882,-20.00738,-20.39437,-20.46234,-17.4268,-18.03202,0.85854,1.63922,0.4141,0.78068,0.36658,0.09862,0.60522,1.41571,0.81049,2.27425,1.66903,2.68835,2.08313,3.05493,2.44971,3.15355,2.54833,0.07025"
131,",545,52202,290,19.15339,17.84731,17.14784,16.77962,16.54176,21.34834,20.96033,-18.10678,-19.38744,-20.15673,-20.56436,-20.76347,-16.08061,-16.46863,1.30608,2.37377,0.69947,1.06769,0.36822,0.23786,0.38801,2.19495,1.80694,3.50103,3.11302,4.2005,3.81249,4.56872,4.18071,4.80658,4.41857,0.06879"
132,",546,52205,433,20.00633,18.22847,17.38604,16.99928,16.67472,23.11697,23.42348,-17.01559,-18.76156,-19.69445,-20.13754,-20.41499,-14.10192,-13.7954,1.77786,3.00705,0.84243,1.22919,0.38676,0.32456,-0.30651,3.11064,3.41715,4.8885,5.19501,5.73093,6.03744,6.11769,6.4242,6.44225,6.74876,0.06272"
133,",547,52207,500,18.73905,17.75415,17.37812,17.09666,17.03365,20.20183,19.75445,-18.06564,-19.01586,-19.46986,-19.80759,-19.80229,-16.75381,-17.20119,0.9849,1.64239,0.37603,0.65749,0.28146,0.06301,0.44738,1.46278,1.0154,2.44768,2.0003,2.82371,2.37633,3.10517,2.65779,3.16818,2.7208,0.05584"
134,",547,52207,511,19.11986,18.02477,17.47327,17.16902,16.99932,20.35116,20.11497,-18.04005,-19.10776,-19.72885,-20.07192,-20.19838,-16.96832,-17.20452,1.09509,1.95084,0.5515,0.85575,0.30425,0.1697,0.23619,1.2313,0.99511,2.32639,2.0902,2.87789,2.6417,3.18214,2.94595,3.35184,3.11565,0.06556"
135,",548,51986,247,19.01368,17.99605,17.43465,17.0846,16.9068,21.14745,20.44014,-17.50798,-18.4843,-19.14665,-19.5309,-19.67341,-15.55908,-16.26639,1.01763,1.92908,0.5614,0.91145,0.35005,0.1778,0.70731,2.13377,1.42646,3.1514,2.44409,3.7128,3.00549,4.06285,3.35554,4.24065,3.53334,0.05001"
136,",552,51992,509,18.74666,17.73854,17.32457,16.99504,16.85277,20.38578,19.48688,-18.13484,-19.10973,-19.60041,-19.92645,-20.06216,-16.64949,-17.54839,1.00812,1.75162,0.41397,0.7435,0.32953,0.14227,0.8989,1.63912,0.74022,2.64724,1.74834,3.06121,2.16231,3.39074,2.49184,3.53301,2.63411,0.05784"
137,",552,51992,517,19.66841,18.22211,17.39382,17.07415,16.82107,23.22933,22.48124,-17.47355,-18.89094,-19.80163,-20.14999,-20.38141,-14.10061,-14.8487,1.4463,2.59426,0.82829,1.14796,0.31967,0.25308,0.74809,3.56092,2.81283,5.00722,4.25913,5.83551,5.08742,6.15518,5.40709,6.40826,5.66017,0.06586"
138,",565,52225,555,20.30917,18.37293,17.49785,17.10054,16.76528,21.88799,21.43188,-17.01666,-18.92857,-19.87569,-20.31924,-20.61433,-15.61758,-16.07368,1.93624,3.20863,0.87508,1.27239,0.39731,0.33526,0.45611,1.57882,1.12271,3.51506,3.05895,4.39014,3.93403,4.78745,4.33134,5.12271,4.6666,0.07114"
139,",567,52252,112,18.92911,17.8405,17.30869,17.00748,16.79478,20.10101,19.6703,-17.89988,-18.95358,-19.57082,-19.89237,-20.08081,-16.89819,-17.3289,1.08861,1.92163,0.53181,0.83302,0.30121,0.2127,0.43071,1.1719,0.74119,2.26051,1.8298,2.79232,2.36161,3.09353,2.66282,3.30623,2.87552,0.05693"
140,",569,52264,59,19.93595,18.12513,17.29539,16.89401,16.60513,23.44461,22.82003,-17.48212,-19.27129,-20.16511,-20.60068,-20.85853,-14.14306,-14.76763,1.81082,3.04194,0.82974,1.23112,0.40138,0.28888,0.62458,3.50866,2.88408,5.31948,4.6949,6.14922,5.52464,6.5506,5.92602,6.83948,6.2149,0.07374"
141,",569,52264,281,19.16333,18.12044,17.56217,17.24409,17.06033,21.08625,20.22423,-17.42544,-18.42835,-19.08448,-19.43637,-19.58477,-15.68467,-16.5467,1.04289,1.91924,0.55827,0.87635,0.31808,0.18376,0.86202,1.92292,1.0609,2.96581,2.10379,3.52408,2.66206,3.84216,2.98014,4.02592,3.1639,0.05146"
142,",569,52264,338,19.0058,17.98611,17.58758,17.28916,17.1852,20.37506,19.98515,-18.3941,-19.39312,-19.84216,-20.1528,-20.23373,-17.16127,-17.55118,1.01969,1.71664,0.39853,0.69695,0.29842,0.10396,0.38991,1.36926,0.97935,2.38895,1.99904,2.78748,2.39757,3.0859,2.69599,3.18986,2.79995,0.07211"
143,",569,52264,465,18.88844,17.91562,17.35976,16.99314,16.80421,21.21512,20.13301,-18.02551,-18.96517,-19.6036,-19.99333,-20.15609,-15.86882,-16.95094,0.97282,1.8953,0.55586,0.92248,0.36662,0.18893,1.08211,2.32668,1.24457,3.2995,2.21739,3.85536,2.77325,4.22198,3.13987,4.41091,3.3288,0.0591"
