"X","X..plate...mjd...fiberID...mag_ab_u...mag_ab_g...mag_ab_r...mag_ab_i...mag_ab_z...mag_ab_fuv...mag_ab_nuv...M_absolut_u...M_absolut_g...M_absolut_r...M_absolut_i...M_absolut_z...M_absolut_fuv...M_absolut_nuv...u.g...u.i...g.r...g.i...r.i...i.z...FUV.NUV...FUV.u...NUV.u...FUV.g...NUV.g...FUV.r...NUV.r...FUV.i...NUV.i...FUV.z...NUV.z...redshift."
57,",402,51793,106,18.56698,17.78656,17.47408,17.21584,17.14631,19.44025,19.20174,-18.41534,-19.16522,-19.54472,-19.80182,-19.8575,-17.68102,-17.91952,0.78042,1.35114,0.31248,0.57072,0.25824,0.06953,0.23851,0.87327,0.63476,1.65369,1.41518,1.96617,1.72766,2.22441,1.9859,2.29394,2.05543,0.06008"
58,",402,51793,250,19.01469,17.85352,17.34106,16.99055,16.81096,20.15484,19.95392,-18.31209,-19.45025,-20.02145,-20.38743,-20.5449,-17.32082,-17.52174,1.16117,2.02414,0.51246,0.86297,0.35051,0.17959,0.20092,1.14015,0.93923,2.30132,2.1004,2.81378,2.61286,3.16429,2.96337,3.34388,3.14296,0.07021"
59,",402,51793,326,18.58175,17.56316,17.01975,16.62252,16.4411,20.44448,19.63024,-18.29033,-19.27489,-19.90229,-20.31634,-20.47743,-16.59768,-17.41192,1.01859,1.95923,0.54341,0.94064,0.39723,0.18142,0.81424,1.86273,1.04849,2.88132,2.06708,3.42473,2.61049,3.82196,3.00772,4.00338,3.18914,0.05802"
60,",404,51877,84,19.95768,18.2169,17.36711,16.99376,16.73467,23.8056,22.54791,-17.35601,-19.07224,-19.994,-20.40479,-20.63182,-13.68659,-14.94428,1.74078,2.96392,0.84979,1.22314,0.37335,0.25909,1.25769,3.84792,2.59023,5.5887,4.33101,6.43849,5.1808,6.81184,5.55415,7.07093,5.81324,0.07073"
61,",405,51816,626,19.51991,18.24387,17.57684,17.07746,16.97123,21.41397,20.59289,-17.60192,-18.84919,-19.59294,-20.12197,-20.19919,-15.88091,-16.70199,1.27604,2.44245,0.66703,1.16641,0.49938,0.10623,0.82108,1.89406,1.07298,3.1701,2.34902,3.83713,3.01605,4.33651,3.51543,4.44274,3.62166,0.06486"
62,",407,51820,298,20.10555,18.12358,17.24505,16.84238,16.58603,23.57047,22.81996,-17.12815,-19.08336,-20.04033,-20.48434,-20.70698,-13.8498,-14.6003,1.98197,3.26317,0.87853,1.2812,0.40267,0.25635,0.75051,3.46492,2.71441,5.44689,4.69638,6.32542,5.57491,6.72809,5.97758,6.98444,6.23393,0.06853"
63,",407,51820,343,20.03426,18.46355,17.58056,17.1663,16.88209,23.80069,22.6964,-17.36686,-18.91527,-19.86528,-20.31755,-20.56884,-13.77528,-14.87958,1.57071,2.86796,0.88299,1.29725,0.41426,0.28421,1.10429,3.76643,2.66214,5.33714,4.23285,6.22013,5.11584,6.63439,5.5301,6.9186,5.81431,0.07337"
64,",410,51877,395,19.86354,18.33831,17.47052,17.04506,16.78165,22.5706,21.88746,-17.50553,-19.00764,-19.9442,-20.43425,-20.6382,-14.9745,-15.65765,1.52523,2.81848,0.86779,1.29325,0.42546,0.26341,0.68314,2.70706,2.02392,4.23229,3.54915,5.10008,4.41694,5.52554,4.8424,5.78895,5.10581,0.07238"
65,",411,51873,170,20.09305,18.21312,17.34831,16.93477,16.64501,22.56397,22.14085,-17.08558,-18.93739,-19.88374,-20.38222,-20.59499,-14.80374,-15.22686,1.87993,3.15828,0.86481,1.27835,0.41354,0.28976,0.42312,2.47092,2.0478,4.35085,3.92773,5.21566,4.79254,5.6292,5.20608,5.91896,5.49584,0.06697"
66,",419,51879,49,19.18679,17.95888,17.30973,16.97014,16.73308,21.35794,20.22718,-17.62152,-18.81352,-19.55542,-19.94375,-20.13427,-15.63615,-16.76691,1.22791,2.21665,0.64915,0.98874,0.33959,0.23706,1.13076,2.17115,1.04039,3.39906,2.2683,4.04821,2.91745,4.3878,3.25704,4.62486,3.4941,0.0568"
