plate,mjd,fiber_id,fuv_flux_obs,fuv_flux_syn,dn4000_synth,extinction
1025,53239,383,1.5911,3.7621,1.2690,0.1880
1026,52558,4,1.5334,2.4704,1.2290,-0.0370
1026,52558,44,1.9509,3.8072,1.2040,0.3160
1026,52558,71,0.8078,2.1978,1.2690,0.4690
1026,52558,146,0.7561,2.7950,1.2360,0.2300
1027,52557,32,1.5566,2.5958,1.2880,0.0200
1027,52557,53,1.0739,4.2909,1.2230,0.1910
1027,52557,188,1.3099,1.6906,1.2910,-0.0880
1027,52557,264,1.1803,3.7459,1.2030,0.0340
1027,52557,287,1.7089,6.0544,1.2290,0.2540
1028,52562,32,1.4093,3.6879,1.1690,0.3940
1028,52562,197,0.8885,2.8725,1.2360,0.1840
1028,52562,396,0.9067,2.3070,1.2220,0.0520
1028,52562,410,1.7287,3.1286,1.1910,0.2650
1028,52562,458,1.9415,3.2315,1.2530,0.2800
1028,52562,523,1.5843,2.0514,1.2740,0.1390
1028,52562,539,1.3320,3.5369,1.2140,0.2270
1028,52562,564,2.0148,3.5493,1.1620,0.5360
1028,52562,593,0.7007,1.3382,1.3670,0.5340
1029,52912,7,1.3115,0.1406,1.3700,0.2110
1029,52912,160,0.9395,2.4762,1.2040,0.1770
1029,52912,181,1.1049,2.6412,1.2610,0.2520
1029,52912,415,2.5444,2.5669,1.2430,0.0860
1029,52912,449,1.8616,1.9544,1.3160,0.2880
1029,52912,523,2.3416,3.2714,1.2110,0.3270
1029,52912,542,1.6802,2.6752,1.2850,0.0470
1029,52912,591,1.0275,4.1709,1.1780,0.4190
1030,52914,18,1.2290,3.6602,1.2330,0.0150
1030,52914,38,2.4234,4.4051,1.2500,0.0900
1030,52914,48,0.9763,2.9859,1.2330,0.2630
1030,52914,60,0.7269,5.1691,1.2850,0.0850
1030,52914,115,1.9493,3.3746,1.2470,0.5720
1030,52914,129,0.5312,4.6163,1.2780,0.1120
1030,52914,170,0.4739,3.9724,1.3220,-0.1280
1030,52914,233,1.4579,2.5302,1.2410,0.2500
1030,52914,237,1.0054,3.4161,1.2230,0.2160
