plate,mjd,fiber_id,fuv_flux_obs,fuv_flux_syn,dn4000_synth,extinction,H_alpha,EW_H_alpha,H_beta,OIII,NII
510,52381,386,2.0933,7.4041,1.1000,-0.0810,1301.9600,134.9100,380.6420,1077.7570,115.4570
513,51989,559,1.1756,1.3998,1.2640,0.8790,1121.8520,45.2660,189.1040,62.7780,381.8250
515,52051,213,0.2556,1.2981,1.5220,0.3640,104.3210,4.5550,30.6370,44.0990,45.5790
516,52017,291,0.6474,1.8200,1.2360,0.6750,867.7320,44.5800,174.2690,94.0150,305.1100
517,52024,271,0.3105,2.2116,1.2620,0.0050,400.9040,29.9990,120.8750,80.7150,109.8570
518,52282,49,0.9211,2.1668,1.2440,0.5460,1862.3440,68.5690,403.0830,431.0840,547.3460
523,52026,626,1.0231,2.9530,1.1890,0.3790,753.5640,46.8960,195.5550,154.5300,196.6290
525,52295,25,0.8798,2.9413,1.1950,0.5700,3302.9390,108.6580,758.2810,799.8880,883.6760
527,52342,317,0.6474,1.5292,1.4500,0.2600,194.0130,8.5790,32.0290,29.0510,99.2880
529,52025,193,0.7287,3.0689,1.2020,0.4280,684.7110,45.4080,174.6110,209.1150,187.6820
532,51993,97,0.6889,3.7705,1.2460,0.3350,733.2820,36.5870,181.9890,56.1320,264.6380
533,51994,172,3.5989,6.4006,1.1370,0.2350,1107.9750,169.6260,335.2480,1026.4240,93.8120
533,51994,628,1.0513,2.4347,1.2680,0.3670,870.1240,40.2150,214.6630,58.4040,285.8450
534,51997,59,0.9389,2.4876,1.2160,0.2090,991.4140,52.5750,270.0920,309.6130,241.5170
534,51997,447,0.2596,3.1336,1.2390,0.1720,548.0620,32.1550,141.7490,66.6270,180.1550
534,51997,455,1.2050,2.2768,1.2230,0.5910,905.6850,38.3590,230.3800,147.6040,255.9250
535,51999,510,0.2432,1.5436,1.3230,0.3140,18.2320,0.9920,2.7930,36.0140,8.6850
543,52017,141,1.4250,3.0923,1.2170,0.1900,769.2970,40.1020,194.3110,66.1650,263.4210
544,52201,3,0.9026,2.5305,1.2470,0.3030,1213.7720,48.4000,318.8700,193.1610,372.0880
544,52201,362,0.9506,2.3325,1.1810,0.7120,1251.5050,72.8720,310.9810,576.5220,214.8470
545,52202,21,1.0825,3.0193,1.1900,0.2610,1470.7860,59.9460,349.7630,176.3140,500.4650
545,52202,290,0.3618,1.0154,1.4900,0.1540,296.9950,9.2310,73.4360,78.0960,111.1530
546,52205,124,0.1857,0.8719,1.3290,0.1370,854.7070,14.4570,143.7410,870.8480,1200.0370
547,51959,465,0.2460,1.7842,1.3470,-0.0800,644.0140,43.2080,193.3210,163.1220,181.2750
547,51959,499,0.8888,1.7429,1.3690,0.0280,529.0700,27.9200,144.2940,31.9660,201.9000
548,51986,247,0.2722,2.7279,1.2780,0.2590,1028.9280,50.7290,256.1230,152.0570,341.8050
548,51986,513,3.6228,2.1563,1.2600,0.1010,414.9550,29.9260,116.2020,132.5420,102.5400
549,51981,440,0.6979,1.4801,1.5400,0.0260,46.9140,2.7840,12.9540,26.8270,22.4920
552,51992,509,0.7525,2.2469,1.2180,0.3340,1212.7130,51.8110,316.7500,180.1130,376.5470
559,52316,402,1.1569,2.1665,1.2170,0.2010,962.4090,60.7080,277.6670,334.2780,192.9740
567,52252,112,1.1600,2.2955,1.3480,0.0820,469.1600,22.5410,112.1680,29.0160,157.5590
569,52264,263,0.9798,4.8854,1.2090,0.2360,800.6480,46.7900,198.8380,61.4080,313.1070
569,52264,281,0.6056,2.6587,1.2590,0.3460,673.9610,32.6930,154.2210,22.3750,246.9740
569,52264,338,0.8373,3.3663,1.2120,0.2440,822.7630,36.3740,238.4480,226.9350,230.5900
569,52264,465,0.4031,3.7058,1.2320,0.3690,794.1540,33.0970,186.6030,110.5950,456.3260
569,52264,609,3.3422,7.4925,1.1310,0.1630,1993.8270,232.2560,640.8310,3071.8820,126.1240
573,52325,392,0.7942,0.9008,1.5210,0.1000,109.0550,6.3380,30.7780,89.4400,40.3050
575,52319,463,0.9161,1.9922,1.2840,0.2400,279.1670,19.7870,86.5380,34.9140,112.2620
577,52367,155,1.0851,1.1923,1.3650,0.4010,446.5800,20.7400,102.7380,75.2880,155.2010
578,52339,137,0.5177,2.6425,1.4090,0.1480,579.3340,22.0360,142.1070,524.1730,224.2140
581,52356,436,0.8177,2.5269,1.4030,0.2710,202.1380,10.2960,56.1660,26.7290,85.0890
585,52027,362,0.4013,1.9556,1.2910,0.3580,635.7480,27.9170,148.2430,25.9440,229.6580
586,52023,36,0.3434,0.6262,1.4200,0.8350,352.5600,20.6100,68.2750,28.1510,270.6720
586,52023,253,1.3153,2.6997,1.1620,0.4300,1184.1630,65.7760,330.6350,295.9220,317.8960
589,52055,529,0.6436,2.0963,1.2500,0.5770,532.1180,31.1150,136.1470,42.0170,200.5650
591,52022,71,0.8772,4.5260,1.1970,0.6370,458.7260,29.6400,111.4740,103.8230,145.1580
591,52022,121,1.1253,3.8378,1.1810,0.6290,512.6590,31.9780,126.2050,42.1090,180.8280
592,52025,235,0.5104,1.4731,1.3790,0.1240,51.4600,2.6400,16.4570,21.0600,41.4770
598,52316,223,1.1334,2.2641,1.1660,0.2970,1400.8750,83.2230,408.5740,1158.3410,156.8050
599,52317,447,0.4735,1.8359,1.2430,0.4740,1375.1200,53.2260,302.8170,236.2960,552.2130
601,52316,461,0.8358,1.9431,1.2770,0.3870,1943.1240,53.2360,463.5850,327.2890,637.9670
604,52079,200,0.4578,2.5846,1.1850,0.5820,1017.1580,52.3160,269.1330,286.0700,256.1100
607,52368,97,1.5849,2.9882,1.1700,0.3400,878.7460,48.9110,262.0470,320.9880,161.8800
607,52368,265,1.3564,1.4990,1.3190,0.8820,440.6770,19.7080,87.5100,27.3970,197.2400
607,52368,512,0.4571,2.3938,1.2360,0.2820,540.4880,35.4780,143.5330,70.6970,191.5750
608,52081,543,0.4632,1.9091,1.5280,0.1490,308.8540,8.1910,98.1230,71.0730,184.1250
609,52339,376,2.8647,9.2785,1.1200,0.2370,2247.1860,202.1160,576.5080,1350.1140,538.5710
610,52056,277,1.7830,3.0876,1.2370,0.0660,1142.1200,81.4890,312.5360,473.2840,218.8370
610,52056,439,2.4909,4.7466,1.1940,0.2380,1489.1070,83.0320,422.1050,574.7980,383.0000
611,52055,476,1.7512,2.8089,1.1830,0.3160,1975.5960,79.9630,554.2440,916.3130,358.2810
612,52079,476,1.7170,8.0324,1.0980,0.1600,1232.4580,134.2330,393.1720,1558.4040,77.2840
613,52345,161,0.8212,1.8883,1.2500,0.4230,450.4130,26.1280,111.0590,43.3290,149.8010
613,52345,184,0.1515,0.9177,1.8390,-0.0310,13.3550,0.3870,9.6970,14.8630,14.8240
614,53437,185,0.6019,0.7973,1.6730,0.2230,265.6310,9.7330,63.6720,83.1870,241.4150
617,52072,201,0.5639,2.6320,1.2800,0.5290,902.0400,34.4180,188.5900,98.5940,321.2800
617,52072,379,0.3662,2.8947,1.3220,0.3380,394.5210,23.0930,99.2980,35.2960,156.1670
617,52072,625,0.3759,3.0676,1.3570,0.2650,599.8270,27.8790,170.5910,106.0320,195.5750
618,52049,138,0.3465,2.4329,1.2560,0.1920,562.2460,30.8600,140.4190,43.1350,182.8460
620,52375,331,0.2155,1.2360,1.4960,0.1050,84.0030,2.3920,21.9300,52.3360,70.6510
621,52055,260,0.4316,1.1855,1.3420,0.5220,606.9350,28.5650,139.7370,165.7310,292.4600
621,52055,624,2.8288,7.0885,1.1000,0.2690,1594.8810,222.2690,480.5350,2021.3190,90.1150
623,52051,626,0.3993,1.5088,1.6210,0.2660,48.2750,1.1840,31.8810,78.9040,-994.0000
625,52145,159,0.8353,2.3930,1.1910,0.4960,1775.7260,59.7170,350.3330,75.2420,607.1840
625,52145,162,0.9881,2.3566,1.2860,0.4240,427.4200,27.4870,98.4830,39.0180,140.9360
625,52145,233,0.1694,1.2187,1.4500,0.3940,347.6820,12.4420,66.2660,94.2400,178.7540
625,52145,385,0.9183,2.4422,1.1900,0.5370,2015.0690,76.9780,426.8810,204.6650,671.1030
628,52083,88,0.3670,2.0166,1.3210,0.2670,309.3630,19.8040,71.4390,22.9460,110.6760
629,52051,497,1.9952,6.9528,1.1240,0.3390,3572.3520,321.4420,1056.4020,4662.5110,198.7440
630,52050,163,0.7973,3.5062,1.2160,0.4080,1003.2590,41.4820,243.5530,69.1780,402.8300
630,52050,600,1.8858,3.8731,1.1700,0.3190,1468.3050,90.4210,479.1350,1319.3440,161.7090
632,52071,93,0.6595,3.8063,1.2210,0.2310,959.2610,64.0080,264.3440,473.6670,148.6200
632,52071,146,0.3866,0.9529,1.5150,0.0350,200.7080,7.8220,54.4170,34.8300,128.2870
