Objid,plate,mjd,fiberid,ra,dec,fiberMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,fuv_mag,nuv_mag,dered_u,dered_g,dered_r,dered_i,dered_z,petroR90_r,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,fuv_magerr,nuv_magerr,e_bv,s2n_r,sn_fuv_auto,survey,morph_type
587739845917474854,2784,54529,592,210.9874,23.4761,18.03036,18.96338,18.00213,17.63307,17.30449,17.21778,20.26983,19.83063,18.83843,17.91019,17.56639,17.25393,17.18193,3.219572,0.0260684,0.006159809,0.005855271,0.006512623,0.01532992,0.2180703,0.1292542,0.02440108,26.9832,4.980046,AIS,3
587742550682304754,2764,54535,279,223.1774,15.895,18.01248,19.18999,18.00686,17.47441,17.1608,16.96849,20.01813,19.65772,19.04673,17.90145,17.39796,17.10283,16.92738,3.46263,0.03828073,0.008806604,0.008216247,0.007782087,0.05476607,0.2198494,0.1337734,0.02757085,20.6296,4.939745,AIS,3
588023240207040749,2435,53828,474,136.1643,17.37183,17.67666,19.89188,18.34526,17.58222,17.15298,16.86125,22.12219,21.23047,19.68884,18.19586,17.47387,17.07081,16.803,3.239256,0.06106834,0.007764443,0.006074676,0.006029144,0.01672757,0.3883876,0.2590683,0.03944207,26.3862,2.796176,AIS,3
587737810641813771,1737,53055,332,116.9297,47.51883,17.90176,19.24532,18.1699,17.6966,17.31937,17.17082,20.75808,20.33449,18.89816,17.91447,17.51134,17.17889,17.07122,2.543724,0.03562907,0.007232452,0.007093395,0.008404889,0.01882258,0.2086535,0.06029761,0.06828366,21.6276,5.204802,AIS,3
587742589869293874,2528,54571,219,243.5971,10.83423,18.00598,20.32294,18.61728,17.83486,17.39744,17.07457,21.71331,22.10946,20.05067,18.41695,17.68956,17.28727,16.99645,3.4469,0.1039611,0.009278589,0.007282419,0.007432815,0.02178559,0.3970063,0.3540173,0.05177399,16.6522,2.735473,AIS,3
587735349647048836,1763,53463,601,180.5424,15.91817,17.90368,19.71092,18.34773,17.7231,17.30888,16.97894,21.66603,20.85875,19.53049,18.21497,17.62681,17.23586,16.92717,3.439475,0.05007416,0.008594863,0.007228849,0.007765938,0.01917063,0.3835258,0.1555243,0.03554865,18.4247,2.831621,AIS,3
588017566027677864,1615,53166,508,187.4194,12.11417,17.42449,19.05267,17.79526,17.23325,16.79158,16.59332,20.32897,20.10292,18.90602,17.68735,17.15499,16.73223,16.55125,3.096303,0.03282166,0.01946405,0.007273986,0.005280856,0.01186744,0.2111002,0.14646,0.02850488,22.8549,5.144476,AIS,3
588017605227577471,1345,52814,357,205.1579,43.42677,17.46611,19.61565,18.11522,17.37279,16.96258,16.67631,21.4059,20.88814,19.55383,18.06974,17.3398,16.93756,16.65858,3.297076,0.05319576,0.006754133,0.006064667,0.005582207,0.01462024,0.2245997,0.1167647,0.01197711,20.4989,4.835269,AIS,3
587739407316091053,2097,53491,448,176.789,34.92701,17.98711,19.76184,18.30751,17.65433,17.28334,17.0186,21.86627,20.70221,19.65661,18.23009,17.59817,17.24076,16.98841,3.268361,0.06823276,0.0106818,0.009910625,0.01051085,0.02384172,0.4427639,0.2058054,0.020324,18.1109,2.452775,AIS,3
587736541481205970,1811,53533,243,214.7184,7.891539,17.67287,19.22657,17.98775,17.38649,17.00867,16.75355,20.96933,20.51812,19.07061,17.87299,17.30326,16.94555,16.70881,3.360375,0.04131706,0.0111605,0.00700819,0.006062501,0.01490016,0.3353113,0.170613,0.03076541,22.2844,3.238782,AIS,3
