plate,mjd,fiberid
2651,54507,510
2652,54508,332
2654,54231,114
2657,54502,108
2660,54504,176
2661,54505,126
2661,54505,572
2663,54234,487
2663,54234,555
2664,54524,390
2665,54232,165
2666,54230,435
2744,54272,209
2744,54272,220
2744,54272,508
2745,54231,205
2745,54231,445
2749,54241,499
2751,54243,367
2751,54243,561
2753,54234,129
2755,54507,177
2755,54507,610
2756,54508,410
2757,54509,347
2758,54523,392
2759,54534,61
2759,54534,113
2761,54534,50
2763,54507,227
2763,54507,445
2764,54535,279
2765,54535,382
2767,54243,318
2767,54243,379
2769,54527,477
2770,54510,123
2773,54533,21
2777,54554,154
2778,54539,60
2778,54539,273
2778,54539,508
2779,54540,467
2780,54557,182
2783,54524,7
2783,54524,395
2784,54529,484
2784,54529,592
2785,54537,440
2785,54537,574
2786,54540,463
2789,54555,206
2789,54555,316
2791,54556,290
2794,54537,416
2878,54465,518
2884,54526,164
2949,54557,557
2953,54560,251
2954,54561,611
2956,54525,5
2956,54525,85
2969,54586,119
2974,54592,44
