#lambda       q_CCM       q_CAL       q_HZ1       q_HZ2       q_HZ3       q_HZ4       q_HZ5       q_GD1       q_GD2       q_GD3
 1194.0     3.61918     0.00000     3.46000     3.26623     3.88436     6.53021     3.00931     0.00000     0.00000     0.00000
 1195.0     3.61380     0.00000     3.45714     3.26174     3.87689     6.52340     3.00650     6.43222     3.97134     3.46425
 1196.0     3.60844     0.00000     3.45429     3.25724     3.86943     6.51658     3.00369     6.42833     3.97375     3.46143
 1197.0     3.60309     0.00000     3.45143     3.25275     3.86197     6.50976     3.00087     6.42445     3.97615     3.45860
 1198.0     3.59776     0.00000     3.44857     3.24825     3.85451     6.50294     2.99806     6.42057     3.97855     3.45579
 1199.0     3.59244     0.00000     3.44571     3.24376     3.84705     6.49612     2.99525     6.41670     3.98094     3.45297
 1200.0     3.58713     2.99244     3.44286     3.23926     3.83959     6.48930     2.99244     6.41283     3.98333     3.45017
 1201.0     3.58184     2.99016     3.44000     3.23561     3.83362     6.48249     2.99016     6.40898     3.98572     3.44736
 1202.0     3.57656     2.98789     3.43714     3.23198     3.82767     6.47567     2.98789     6.40512     3.98810     3.44456
 1203.0     3.57129     2.98563     3.43429     3.22835     3.82175     6.46885     2.98563     6.40128     3.99048     3.44177
 1204.0     3.56604     2.98338     3.43143     3.22475     3.81586     6.46203     2.98338     6.39744     3.99286     3.43898
 1205.0     3.56080     2.98113     3.42857     3.22115     3.80999     6.45521     2.98113     6.39361     3.99523     3.43620
 1206.0     3.55558     2.97890     3.42571     3.21757     3.80415     6.44839     2.97890     6.38978     3.99760     3.43342
 1207.0     3.55037     2.97667     3.42286     3.21401     3.79833     6.44158     2.97667     6.38596     3.99996     3.43064
 1208.0     3.54517     2.97445     3.42000     3.21045     3.79253     6.43476     2.97445     6.38215     4.00232     3.42787
 1209.0     3.53998     2.97224     3.41714     3.20692     3.78676     6.42794     2.97224     6.37834     4.00467     3.42510
 1210.0     3.53480     2.97004     3.41429     3.20339     3.78101     6.42112     2.97004     6.37454     4.00702     3.42234
 1211.0     3.52964     2.96784     3.41143     3.19988     3.77529     6.41430     2.96784     6.37075     4.00937     3.41959
 1212.0     3.52449     2.96566     3.40857     3.19638     3.76959     6.40749     2.96566     6.36696     4.01172     3.41683
 1213.0     3.51936     2.96348     3.40571     3.19290     3.76391     6.40067     2.96348     6.36318     4.01406     3.41409
 1214.0     3.51423     2.96131     3.40286     3.18943     3.75826     6.39385     2.96131     6.35940     4.01639     3.41134
 1215.0     3.50912     2.95915     3.40000     3.18597     3.75263     6.38703     2.95915     6.35563     4.01872     3.40860
 1216.0     3.50402     2.95699     3.39714     3.18253     3.74702     6.38021     2.95699     6.35187     4.02105     3.40587
 1217.0     3.49893     2.95485     3.39429     3.17910     3.74144     6.37340     2.95485     6.34811     4.02338     3.40314
 1218.0     3.49385     2.95271     3.39143     3.17569     3.73588     6.36658     2.95271     6.34436     4.02570     3.40041
 1219.0     3.48878     2.95058     3.38857     3.17228     3.73035     6.35976     2.95058     6.34062     4.02801     3.39769
 1220.0     3.48372     2.94846     3.38571     3.16889     3.72483     6.35294     2.94846     6.33688     4.03033     3.39498
 1221.0     3.47868     2.94634     3.38286     3.16552     3.71934     6.34612     2.94634     6.33314     4.03264     3.39226
 1222.0     3.47364     2.94424     3.38000     3.16215     3.71388     6.33930     2.94424     6.32942     4.03494     3.38956
 1223.0     3.46862     2.94214     3.37714     3.15880     3.70843     6.33249     2.94214     6.32570     4.03724     3.38685
 1224.0     3.46361     2.94005     3.37429     3.15546     3.70301     6.32567     2.94005     6.32198     4.03954     3.38415
 1225.0     3.45861     2.93796     3.37143     3.15214     3.69761     6.31885     2.93796     6.31828     4.04184     3.38146
 1226.0     3.45362     2.93589     3.36857     3.14883     3.69223     6.31203     2.93589     6.31457     4.04413     3.37877
